Студенти между 18 и 26 години:
Име: Иван Иванов, Факултетен номер: 12345, Възраст: 24, Среден успех: 5.5
Име: Мария Петрова, Факултетен номер: 12346, Възраст: 25, Среден успех: 5.8
Име: Георги Георгиев, Факултетен номер: 12347, Възраст: 21, Среден успех: 4.9
Име: Петя Димитрова, Факултетен номер: 12348, Възраст: 31, Среден успех: 5.2
Име: Стефан Стефанов, Факултетен номер: 12349, Възраст: 23, Среден успех: 5
Име: Марин Стефанов, Факултетен номер: 12350, Възраст: 27, Среден успех: 5.6
Име: Десислава Веселинова, Факултетен номер: 12351, Възраст: 22, Среден успех: 4.7
Име: Ивелин Михайлов, Факултетен номер: 12352, Възраст: 24, Среден успех: 5.4
Име: Силвия Караиванова, Факултетен номер: 12353, Възраст: 29, Среден успех: 5.1
Име: Кирил Кирилов, Факултетен номер: 12354, Възраст: 24, Среден успех: 5.7

Студент с най-висок успех:
Име: Мария Петрова, Факултетен номер: 12346, Възраст: 25, Среден успех: 5.8
